math_score,science_score,programming_skill,communication_skill,creativity,interest_area,experience_years,career
93,91,High,Medium,Low,Technology,3,Data Scientist (Junior)
89,90,Medium,High,Low,Technology,2,Junior Software Engineer
75,82,High,Medium,Low,Technology,2,ML Engineer (Junior)
83,93,High,High,Low,Technology,5,Data Scientist (Junior)
73,79,Low,High,High,Technology,2,UI/UX Designer
94,76,Medium,Medium,Low,Technology,1,Data Analyst
70,85,High,Medium,Low,Technology,1,DevOps Engineer (Junior)
92,91,High,High,Low,Technology,0,Data Scientist (Junior)
75,83,High,High,Low,Technology,1,Cyber Security Analyst
83,88,High,Medium,Low,Technology,1,Data Scientist (Junior)
86,79,Medium,Medium,High,Technology,1,Frontend Developer
85,94,High,High,Low,Technology,1,Software Engineer
86,84,High,Medium,Low,Technology,3,Cyber Security Analyst
74,71,High,High,Low,Technology,3,ML Engineer (Junior)
76,85,Medium,Medium,Low,Technology,1,Junior Software Engineer
88,94,High,Medium,Low,Technology,0,Software Engineer
84,81,High,High,Low,Technology,0,Backend Developer
77,87,Medium,Medium,High,Technology,0,Frontend Developer
77,93,Medium,Medium,Low,Technology,2,QA Engineer
92,87,Low,High,High,Technology,0,UI/UX Designer
78,75,High,High,Low,Technology,0,Backend Developer
87,74,High,Medium,Low,Technology,0,DevOps Engineer (Junior)
83,87,Medium,High,Medium,Technology,1,Web Developer
92,90,Medium,High,Medium,Technology,1,Web Developer
79,86,High,Medium,Low,Technology,3,Cyber Security Analyst
81,85,High,Medium,Low,Technology,0,Backend Developer
93,89,Medium,High,Medium,Technology,2,Web Developer
74,91,High,High,Low,Technology,0,Data Scientist (Junior)
79,92,High,High,Low,Technology,2,Cyber Security Analyst
76,82,High,High,Low,Technology,1,ML Engineer (Junior)
94,94,Medium,High,Low,Technology,3,Junior Software Engineer
88,78,High,High,Low,Technology,0,Software Engineer
95,72,High,Medium,Low,Technology,0,Data Scientist (Junior)
85,90,High,Medium,Low,Technology,1,Software Engineer
76,86,Medium,Medium,Low,Technology,1,QA Engineer
81,93,Medium,High,High,Technology,0,Frontend Developer
92,95,Medium,Medium,Low,Technology,1,Data Analyst
84,85,Low,High,High,Technology,0,UI/UX Designer
85,70,High,Medium,Low,Technology,0,Data Scientist (Junior)
75,79,High,Medium,Low,Technology,2,Cloud Engineer (Junior)
76,88,Medium,High,High,Technology,0,Frontend Developer
74,78,Medium,High,Low,Technology,1,Data Analyst
88,84,Medium,Medium,Medium,Technology,0,Web Developer
92,83,Medium,Medium,Low,Technology,2,Junior Software Engineer
95,95,High,High,Low,Technology,0,Cloud Engineer (Junior)
95,82,High,Medium,Low,Technology,1,Backend Developer
77,75,High,Medium,Low,Technology,3,Software Engineer
79,71,Medium,Medium,Medium,Technology,3,Web Developer
78,91,High,High,Low,Technology,0,Software Engineer
74,75,Low,High,High,Technology,0,UI/UX Designer
72,75,High,Medium,Low,Technology,0,Data Scientist (Junior)
80,94,High,High,Low,Technology,0,Cloud Engineer (Junior)
83,71,High,High,Low,Technology,0,Data Scientist (Junior)
77,77,High,High,Low,Technology,1,DevOps Engineer (Junior)
71,80,Medium,High,Medium,Technology,0,Web Developer
79,86,Medium,High,Low,Technology,2,Junior Software Engineer
76,92,High,High,Low,Technology,1,Cyber Security Analyst
81,74,High,Medium,Low,Technology,2,DevOps Engineer (Junior)
83,73,Medium,High,Medium,Technology,3,Web Developer
74,90,High,High,Low,Technology,2,DevOps Engineer (Junior)
78,84,Medium,High,High,Technology,0,Frontend Developer
95,85,High,High,Low,Technology,1,Software Engineer
91,87,Medium,Medium,Medium,Technology,1,Web Developer
76,91,High,High,Low,Technology,2,Backend Developer
79,81,Medium,High,High,Technology,2,Frontend Developer
92,95,Medium,Medium,Low,Technology,0,QA Engineer
90,74,High,Medium,Low,Technology,1,Data Scientist (Junior)
86,89,High,Medium,Low,Technology,4,Software Engineer
82,74,Medium,High,Low,Technology,0,QA Engineer
83,91,High,Medium,Low,Technology,0,Backend Developer
86,75,Medium,Medium,Low,Technology,3,Junior Software Engineer
84,79,High,High,Low,Technology,0,Software Engineer
85,81,High,Medium,Low,Technology,0,Software Engineer
93,76,Medium,High,Medium,Technology,0,Web Developer
95,82,Medium,High,Low,Technology,0,Data Analyst
81,88,High,High,Low,Technology,0,Software Engineer
81,86,Medium,Medium,Low,Technology,1,Data Analyst
72,82,Medium,High,Low,Technology,2,QA Engineer
85,79,High,High,Low,Technology,1,ML Engineer (Junior)
88,74,High,High,Low,Technology,1,Cloud Engineer (Junior)
94,71,High,High,Low,Technology,0,Software Engineer
85,90,High,High,Low,Technology,1,Backend Developer
75,75,Medium,High,Medium,Technology,2,Web Developer
91,89,High,High,Low,Technology,0,Data Scientist (Junior)
79,77,Medium,High,Low,Technology,1,Junior Software Engineer
84,87,Medium,Medium,High,Technology,0,Frontend Developer
72,82,Medium,High,Medium,Technology,5,Web Developer
93,88,High,Medium,Low,Technology,1,ML Engineer (Junior)
86,78,Medium,Medium,High,Technology,1,Frontend Developer
73,72,High,High,Low,Technology,1,Cyber Security Analyst
78,74,Medium,Medium,High,Technology,5,Frontend Developer
72,78,High,High,Low,Technology,1,ML Engineer (Junior)
70,76,High,Medium,Low,Technology,5,Data Scientist (Junior)
92,71,High,High,Low,Technology,2,Backend Developer
86,92,Medium,Medium,Low,Technology,0,Junior Software Engineer
75,88,High,High,Low,Technology,0,Cloud Engineer (Junior)
75,94,High,High,Low,Technology,1,DevOps Engineer (Junior)
70,90,High,Medium,Low,Technology,1,Cloud Engineer (Junior)
75,94,High,High,Low,Technology,3,Software Engineer
90,93,High,High,Low,Technology,1,Data Scientist (Junior)
94,93,Medium,Medium,Low,Technology,2,Junior Software Engineer
76,87,High,Medium,Low,Technology,1,Backend Developer
85,75,Low,High,High,Technology,1,UI/UX Designer
71,81,High,Medium,Low,Technology,2,Cloud Engineer (Junior)
72,86,High,High,Low,Technology,1,Cyber Security Analyst
81,90,Medium,Medium,Low,Technology,1,Data Analyst
77,93,Medium,Medium,Low,Technology,1,Data Analyst
79,77,Medium,Medium,Low,Technology,1,QA Engineer
82,84,Medium,Medium,Low,Technology,3,QA Engineer
74,95,Medium,Medium,Low,Technology,2,Data Analyst
95,86,Medium,High,Medium,Technology,4,Web Developer
77,78,High,High,Low,Technology,0,Data Scientist (Junior)
75,77,Low,Medium,High,Technology,1,UI/UX Designer
79,84,Medium,Medium,High,Technology,1,Frontend Developer
93,79,Medium,Medium,Low,Technology,0,QA Engineer
81,92,High,Medium,Low,Technology,2,Cloud Engineer (Junior)
87,94,High,High,Low,Technology,2,Data Scientist (Junior)
92,79,High,High,Low,Technology,3,Data Scientist (Junior)
79,84,Medium,High,Medium,Technology,0,Web Developer
83,82,High,High,Low,Technology,2,DevOps Engineer (Junior)
78,87,Medium,High,Low,Technology,1,QA Engineer
93,90,High,Medium,Low,Technology,1,Data Scientist (Junior)
79,87,Low,Medium,High,Technology,0,UI/UX Designer
74,74,High,Medium,Low,Technology,0,Backend Developer
94,76,High,High,Low,Technology,0,Cyber Security Analyst
75,86,High,High,Low,Technology,1,Data Scientist (Junior)
86,85,High,Medium,Low,Technology,0,ML Engineer (Junior)
86,89,High,High,Low,Technology,3,Cyber Security Analyst
77,87,Medium,High,Low,Technology,2,QA Engineer
85,90,High,Medium,Low,Technology,0,Backend Developer
83,82,Low,High,High,Technology,0,UI/UX Designer
91,92,High,High,Low,Technology,2,ML Engineer (Junior)
81,72,Medium,Medium,Medium,Technology,5,Web Developer
95,70,High,High,Low,Technology,0,Software Engineer
75,76,Medium,High,Low,Technology,1,QA Engineer
92,71,Medium,Medium,Low,Technology,2,Data Analyst
77,92,Medium,High,Low,Technology,2,Data Analyst
86,79,High,High,Low,Technology,0,ML Engineer (Junior)
95,91,Medium,High,Medium,Technology,1,Web Developer
74,72,High,High,Low,Technology,1,Backend Developer
89,94,Low,High,High,Technology,0,UI/UX Designer
89,72,High,Medium,Low,Technology,5,Cloud Engineer (Junior)
79,77,Medium,Medium,Low,Technology,1,Data Analyst
92,93,High,High,Low,Technology,2,Software Engineer
81,75,High,Medium,Low,Technology,0,Cyber Security Analyst
91,84,High,High,Low,Technology,1,Data Scientist (Junior)
90,81,Medium,Medium,Medium,Technology,1,Web Developer
80,81,Medium,Medium,Low,Technology,2,Junior Software Engineer
91,93,Medium,High,High,Technology,1,Frontend Developer
94,83,Medium,Medium,Medium,Technology,0,Web Developer
85,95,Low,Medium,High,Technology,2,UI/UX Designer
89,81,Medium,Medium,Low,Technology,0,Junior Software Engineer
95,87,High,High,Low,Technology,0,Backend Developer
81,82,Medium,Medium,High,Technology,2,Frontend Developer
92,94,Low,High,High,Technology,0,UI/UX Designer
78,87,High,High,Low,Technology,1,ML Engineer (Junior)
92,76,Low,High,High,Technology,0,UI/UX Designer
90,81,High,Medium,Low,Technology,2,ML Engineer (Junior)
86,73,High,Medium,Low,Technology,3,ML Engineer (Junior)
77,89,High,Medium,Low,Technology,0,ML Engineer (Junior)
83,80,Medium,Medium,Low,Technology,3,Junior Software Engineer
86,89,Medium,High,Low,Technology,0,Junior Software Engineer
82,79,High,Medium,Low,Technology,1,Cloud Engineer (Junior)
84,92,Medium,High,Low,Technology,0,QA Engineer
79,95,Medium,High,Medium,Technology,0,Web Developer
76,83,High,High,Low,Technology,0,ML Engineer (Junior)
78,92,High,Medium,Low,Technology,1,Backend Developer
84,88,High,Medium,Low,Technology,2,Cloud Engineer (Junior)
87,76,Medium,Medium,Low,Technology,0,QA Engineer
88,74,Low,Medium,High,Technology,0,UI/UX Designer
95,79,Medium,Medium,Medium,Technology,3,Web Developer
89,74,High,Medium,Low,Technology,2,Cloud Engineer (Junior)
88,88,Medium,High,Medium,Technology,0,Web Developer
83,76,High,High,Low,Technology,4,Data Scientist (Junior)
80,88,Medium,High,Low,Technology,0,Junior Software Engineer
86,85,High,Medium,Low,Technology,1,Backend Developer
80,87,Medium,High,High,Technology,1,Frontend Developer
72,89,Medium,Medium,Medium,Technology,3,Web Developer
89,81,High,High,Low,Technology,2,Software Engineer
75,73,Low,High,High,Technology,0,UI/UX Designer
72,82,High,Medium,Low,Technology,1,Cyber Security Analyst
88,71,Low,High,High,Technology,2,UI/UX Designer
92,74,Medium,High,Medium,Technology,1,Web Developer
72,94,High,High,Low,Technology,0,Data Scientist (Junior)
78,92,Medium,Medium,Low,Technology,0,QA Engineer
72,84,Medium,Medium,Low,Technology,0,QA Engineer
85,71,High,High,Low,Technology,0,Backend Developer
73,81,High,Medium,Low,Technology,0,Cyber Security Analyst
95,72,High,High,Low,Technology,0,DevOps Engineer (Junior)
88,83,Medium,Medium,High,Technology,5,Frontend Developer
72,74,High,High,Low,Technology,0,Cyber Security Analyst
86,81,Medium,Medium,High,Technology,2,Frontend Developer
80,86,Medium,High,High,Technology,1,Frontend Developer
84,90,High,High,Low,Technology,3,Cyber Security Analyst
70,86,High,High,Low,Technology,0,Backend Developer
75,92,High,Medium,Low,Technology,2,Cyber Security Analyst
93,78,High,High,Low,Technology,2,DevOps Engineer (Junior)
77,90,Medium,High,Low,Technology,1,Junior Software Engineer
70,83,High,Medium,Low,Technology,3,DevOps Engineer (Junior)
95,77,Medium,Medium,Medium,Technology,0,Web Developer
80,71,Medium,Medium,Low,Technology,2,Junior Software Engineer
82,86,Medium,High,Low,Technology,0,Data Analyst
86,94,Medium,Medium,Low,Technology,2,Data Analyst
84,76,Medium,Medium,Low,Technology,0,Junior Software Engineer
78,79,Medium,High,Low,Technology,0,QA Engineer
78,94,High,Medium,Low,Technology,2,Data Scientist (Junior)
81,81,High,High,Low,Technology,1,Data Scientist (Junior)
85,75,Medium,High,High,Technology,1,Frontend Developer
93,72,Medium,Medium,Medium,Technology,1,Web Developer
88,93,High,Medium,Low,Technology,0,Software Engineer
86,72,High,Medium,Low,Technology,0,Cloud Engineer (Junior)
73,76,High,Medium,Low,Technology,0,Cloud Engineer (Junior)
89,90,High,Medium,Low,Technology,0,Data Scientist (Junior)
71,82,Low,High,High,Technology,0,UI/UX Designer
85,87,High,High,Low,Technology,0,Software Engineer
71,94,Medium,Medium,Low,Technology,1,Data Analyst
91,85,Low,High,High,Technology,0,UI/UX Designer
93,73,High,High,Low,Technology,4,Cloud Engineer (Junior)
83,73,Medium,High,Low,Technology,0,Junior Software Engineer
89,78,High,High,Low,Technology,2,ML Engineer (Junior)
88,81,High,Medium,Low,Technology,0,Software Engineer
94,77,Medium,High,High,Technology,5,Frontend Developer
78,79,Medium,Medium,Low,Technology,1,QA Engineer
94,79,High,High,Low,Technology,0,Backend Developer
70,92,Medium,High,Low,Technology,0,Junior Software Engineer
74,80,High,Medium,Low,Technology,1,Data Scientist (Junior)
76,93,High,High,Low,Technology,1,ML Engineer (Junior)
95,86,High,High,Low,Technology,0,Software Engineer
84,90,High,High,Low,Technology,1,Cyber Security Analyst
94,73,Medium,High,High,Technology,0,Frontend Developer
93,91,High,High,Low,Technology,0,DevOps Engineer (Junior)
79,80,High,High,Low,Technology,0,ML Engineer (Junior)
70,78,High,Medium,Low,Technology,0,Software Engineer
86,95,High,Medium,Low,Technology,1,Software Engineer
72,75,High,High,Low,Technology,0,Backend Developer
75,81,Medium,High,Medium,Technology,0,Web Developer
90,86,Medium,High,Medium,Technology,0,Web Developer
77,71,High,Medium,Low,Technology,0,Software Engineer
78,80,Medium,Medium,Low,Technology,3,Data Analyst
79,70,High,Medium,Low,Technology,0,Backend Developer
84,81,High,Medium,Low,Technology,2,Software Engineer
89,71,Medium,Medium,Medium,Technology,0,Web Developer
91,75,Medium,High,Low,Technology,0,Junior Software Engineer
73,85,High,High,Low,Technology,1,Software Engineer
84,80,High,Medium,Low,Technology,0,DevOps Engineer (Junior)
71,75,High,Medium,Low,Technology,0,Cyber Security Analyst
93,86,Low,Medium,High,Technology,1,UI/UX Designer
70,95,High,Medium,Low,Technology,2,Software Engineer
70,78,High,Medium,Low,Technology,0,ML Engineer (Junior)
85,85,High,Medium,Low,Technology,3,Cloud Engineer (Junior)
83,79,High,Medium,Low,Technology,2,Data Scientist (Junior)
81,88,High,Medium,Low,Technology,0,Software Engineer
81,95,High,Medium,Low,Technology,0,Cloud Engineer (Junior)
80,74,High,High,Low,Technology,0,Backend Developer
92,84,High,Medium,Low,Technology,2,DevOps Engineer (Junior)
90,73,Medium,Medium,Low,Technology,0,QA Engineer
88,91,High,Medium,Low,Technology,0,Software Engineer
78,81,High,Medium,Low,Technology,0,Backend Developer
91,91,High,High,Low,Technology,0,Data Scientist (Junior)
82,92,High,High,Low,Technology,5,ML Engineer (Junior)
86,82,High,High,Low,Technology,2,Data Scientist (Junior)
77,95,High,High,Low,Technology,0,Backend Developer
82,95,High,Medium,Low,Technology,1,Data Scientist (Junior)
81,83,Medium,Medium,Low,Technology,3,Data Analyst
92,93,High,High,Low,Technology,0,Cloud Engineer (Junior)
72,85,Medium,Medium,Low,Technology,0,QA Engineer
74,88,Medium,Medium,Medium,Technology,1,Web Developer
73,88,High,Medium,Low,Technology,3,Software Engineer
91,95,Medium,Medium,Medium,Technology,1,Web Developer
79,75,Medium,Medium,Low,Technology,3,Data Analyst
70,93,High,High,Low,Technology,2,Cyber Security Analyst
80,78,High,High,Low,Technology,1,DevOps Engineer (Junior)
70,81,High,Medium,Low,Technology,0,Software Engineer
92,88,Low,Medium,High,Technology,1,UI/UX Designer
77,85,High,Medium,Low,Technology,2,Data Scientist (Junior)
95,84,High,Medium,Low,Technology,1,ML Engineer (Junior)
84,72,High,High,Low,Technology,1,Data Scientist (Junior)
73,81,Medium,High,Medium,Technology,3,Web Developer
91,81,High,High,Low,Technology,0,Backend Developer
71,80,High,High,Low,Technology,0,Cloud Engineer (Junior)
77,75,High,Medium,Low,Technology,0,Software Engineer
85,95,High,Medium,Low,Technology,0,ML Engineer (Junior)
87,81,Medium,Medium,Low,Technology,1,Data Analyst
75,76,Medium,Medium,Medium,Technology,3,Web Developer
88,94,High,Medium,Low,Technology,0,ML Engineer (Junior)
91,83,High,Medium,Low,Technology,0,DevOps Engineer (Junior)
70,88,High,Medium,Low,Technology,0,Data Scientist (Junior)
76,73,Medium,Medium,High,Technology,4,Frontend Developer
75,76,Medium,Medium,Low,Technology,3,QA Engineer
91,82,Medium,High,Low,Technology,3,Data Analyst
86,87,Low,Medium,High,Technology,3,UI/UX Designer
95,71,Medium,Medium,Low,Technology,1,Junior Software Engineer
74,80,Medium,High,Low,Technology,0,Junior Software Engineer
83,76,Medium,Medium,Medium,Technology,1,Web Developer
89,72,Medium,High,Low,Technology,5,QA Engineer
74,78,High,High,Low,Technology,0,Cloud Engineer (Junior)
90,71,Medium,Medium,Low,Technology,1,QA Engineer
75,93,High,Medium,Low,Technology,2,Cyber Security Analyst
90,88,High,Medium,Low,Technology,2,DevOps Engineer (Junior)
77,79,High,High,Low,Technology,1,ML Engineer (Junior)
95,73,Medium,Medium,Medium,Technology,3,Web Developer
77,77,Low,High,High,Technology,0,UI/UX Designer
74,88,Medium,High,Medium,Technology,1,Web Developer
91,83,Low,High,High,Technology,1,UI/UX Designer
84,83,High,High,Low,Technology,2,Software Engineer
94,71,Medium,Medium,Medium,Technology,0,Web Developer
79,73,Medium,Medium,Low,Technology,0,Data Analyst
89,85,Medium,Medium,Low,Technology,2,Junior Software Engineer
74,76,High,High,Low,Technology,2,Backend Developer
75,73,High,High,Low,Technology,0,Software Engineer
90,90,High,Medium,Low,Technology,0,Cloud Engineer (Junior)
87,72,High,High,Low,Technology,2,Software Engineer
73,73,Medium,Medium,High,Technology,3,Frontend Developer
81,91,Medium,Medium,Low,Technology,0,Junior Software Engineer
74,74,Medium,High,High,Technology,1,Frontend Developer
72,75,Medium,High,Low,Technology,0,QA Engineer
94,83,Medium,High,Low,Technology,3,QA Engineer
84,89,High,High,Low,Technology,0,ML Engineer (Junior)
91,85,Medium,Medium,Low,Technology,2,QA Engineer
72,74,Medium,Medium,High,Technology,2,Frontend Developer
83,93,High,Medium,Low,Technology,0,Cloud Engineer (Junior)
94,75,High,High,Low,Technology,1,Backend Developer
78,74,High,Medium,Low,Technology,3,Software Engineer
91,92,High,Medium,Low,Technology,3,ML Engineer (Junior)
94,88,High,High,Low,Technology,3,ML Engineer (Junior)
90,90,Medium,High,Medium,Technology,2,Web Developer
83,75,High,Medium,Low,Technology,2,ML Engineer (Junior)
83,79,High,Medium,Low,Technology,0,Software Engineer
78,72,High,Medium,Low,Technology,0,ML Engineer (Junior)
83,94,Medium,Medium,Low,Technology,0,Data Analyst
88,83,High,High,Low,Technology,2,Data Scientist (Junior)
71,72,Low,High,High,Technology,3,UI/UX Designer
80,84,High,Medium,Low,Technology,1,Software Engineer
83,81,High,Medium,Low,Technology,1,Data Scientist (Junior)
81,93,Medium,High,Low,Technology,0,Junior Software Engineer
79,71,High,High,Low,Technology,0,Backend Developer
77,95,Medium,Medium,Medium,Technology,0,Web Developer
81,87,High,Medium,Low,Technology,0,Software Engineer
91,94,High,High,Low,Technology,2,Cyber Security Analyst
81,89,Medium,High,Low,Technology,0,Data Analyst
86,78,High,Medium,Low,Technology,0,Data Scientist (Junior)
87,72,High,High,Low,Technology,2,DevOps Engineer (Junior)
72,93,High,High,Low,Technology,0,Data Scientist (Junior)
70,95,High,High,Low,Technology,1,ML Engineer (Junior)
82,92,High,High,Low,Technology,1,ML Engineer (Junior)
80,78,High,Medium,Low,Technology,1,ML Engineer (Junior)
95,80,Medium,High,Low,Technology,0,Data Analyst
81,80,High,Medium,Low,Technology,3,Software Engineer
91,87,Medium,Medium,Low,Technology,3,Junior Software Engineer
72,93,Medium,Medium,High,Technology,1,Frontend Developer
89,81,Medium,High,Low,Technology,1,QA Engineer
91,87,Low,Medium,High,Technology,1,UI/UX Designer
73,73,Medium,High,Medium,Technology,1,Web Developer
84,77,Medium,Medium,Low,Technology,0,QA Engineer
93,78,Medium,High,Low,Technology,1,QA Engineer
91,80,Medium,High,Low,Technology,3,Junior Software Engineer
83,71,High,Medium,Low,Technology,0,Backend Developer
88,83,High,Medium,Low,Technology,0,DevOps Engineer (Junior)
93,79,Medium,Medium,Medium,Technology,0,Web Developer
71,94,High,Medium,Low,Technology,0,Cloud Engineer (Junior)
77,79,High,Medium,Low,Technology,0,ML Engineer (Junior)
84,82,Medium,High,Low,Technology,1,Data Analyst
89,72,High,Medium,Low,Technology,0,DevOps Engineer (Junior)
87,95,Low,Medium,High,Technology,0,UI/UX Designer
80,80,High,Medium,Low,Technology,0,Backend Developer
89,77,High,High,Low,Technology,5,ML Engineer (Junior)
84,81,Medium,Medium,Medium,Technology,0,Web Developer
86,85,High,Medium,Low,Technology,1,ML Engineer (Junior)
85,87,High,Medium,Low,Technology,5,Cloud Engineer (Junior)
74,93,Medium,Medium,Low,Technology,0,QA Engineer
83,70,Medium,Medium,Medium,Technology,1,Web Developer
86,81,High,Medium,Low,Technology,0,Software Engineer
85,93,Medium,Medium,Low,Technology,3,QA Engineer
87,86,High,High,Low,Technology,1,Cloud Engineer (Junior)
86,78,High,High,Low,Technology,0,Cyber Security Analyst
93,93,High,Medium,Low,Technology,1,Software Engineer
93,88,High,Medium,Low,Technology,1,DevOps Engineer (Junior)
93,79,Medium,Medium,Medium,Technology,0,Web Developer
73,84,High,Medium,Low,Technology,2,Software Engineer
80,81,Medium,High,High,Technology,0,Frontend Developer
92,76,Medium,High,High,Technology,2,Frontend Developer
88,78,High,Medium,Low,Technology,0,Software Engineer
90,86,Medium,High,Low,Technology,3,QA Engineer
70,93,Medium,Medium,High,Technology,2,Frontend Developer
71,71,High,High,Low,Technology,1,Backend Developer
72,88,Medium,Medium,Low,Technology,1,Junior Software Engineer
94,84,Low,High,High,Technology,0,UI/UX Designer
75,78,Low,Medium,High,Technology,1,UI/UX Designer
81,88,Medium,Medium,Low,Technology,1,Junior Software Engineer
76,77,High,High,Low,Technology,1,DevOps Engineer (Junior)
88,85,Low,High,High,Technology,0,UI/UX Designer
86,82,High,High,Low,Technology,0,Cloud Engineer (Junior)
